id_order,location_code
1,ALB
2,ARG
3,ARM
4,AUT
5,BEL
6,BGR
7,BLR
8,BOL
9,BRA
10,CAN
11,CHN
12,COL
13,CRI
14,CYP
15,CZE
16,DEU
17,DNK
18,DOM
19,ECU
20,EGY
21,ESP
22,EST
23,FIN
24,FJI
25,FRA
26,GBR
27,GEO
28,GRC
29,HND
30,HRV
31,HUN
32,IDN
33,IND
34,IRL
35,IRN
36,ITA
37,KGZ
38,LKA
39,LTU
40,LUX
41,LVA
42,MDA
43,MDV
44,MHL
45,MKD
46,MLT
47,MOZ
48,MWI
49,NLD
50,NOR
51,PAN
52,PER
53,POL
54,PRT
55,PRY
56,ROU
57,RUS
58,SLV
59,SRB
60,SVK
61,SVN
62,SWE
63,THA
64,TUR
65,UGA
66,UKR
67,URY
68,USA
69,ZWE
