"","vectoriza"
"X252010",36.4938301999403
"X252020",35.1043635541488
"X252100",30.5917523827498
"X252210",36.1699555484998
"X252220",35.6341887226697
"X252230",39.7929446790833
"X252310",38.1999239175543
"X252321",33.2465331946611
"X252329",34.8357577444626
"X252330",29.7960431654676
"X252390",34.3699521694568
"X252400",38.7272773407764
"X252510",37.5885737439222
"X252520",33.5643841166937
"X252530",36.0150185414091
"X252610",34.5223286661754
"X252620",30.9707182320442
"X252700",NA
"X252810",NA
"X252890",41.463562568998
"X252910",44.9379538323622
"X252921",37.8358906736993
"X252922",33.4201345755694
"X252930",29.6311380597015
"X253010",42.5023624106468
"X253020",32.8146931719965
"X253030",NA
"X253040",NA
"X253090",44.258749306711
"X260111",44.3444504079004
"X260112",35.4446268656717
"X260120",44.3243105950653
"X260200",45.4474004256613
"X260300",37.3280308680934
"X260400",45.3584953442163
"X260500",31.0959658281917
"X260600",41.5916010108518
"X260700",39.9166970209445
"X260800",40.7297054495702
"X260900",41.395790401675
"X261000",45.3868222672031
"X261100",41.3640400778621
"X261210",35.638874230431
"X261220",39.1343068783069
"X261310",32.9382971268395
"X261390",39.525166917941
"X261400",47.8247554604568
"X261510",48.9591744840525
"X261590",48.2670925917226
"X261610",41.6006068851931
"X261690",34.5680521178723
"X261710",43.2173892798013
"X261790",32.4915867631278
"X261800",34.2370619097587
"X261900",33.3644698725377
"X262011",31.7894141312547
"X262019",33.7629278669503
"X262020",31.3859852774632
"X262030",30.5768919951949
"X262040",31.5797780650722
"X262050",NA
"X262090",33.1072696294193
"X262100",33.6102828618968
"X270111",34.672356155577
"X270112",46.3664401558394
"X270119",45.4819389181632
"X270120",33.1452684006641
"X270210",35.9330863121186
"X270220",31.234748272458
"X270300",34.7084038326712
"X270400",46.6456726592261
"X270500",40.5420350419814
"X270600",31.6055954746981
"X270710",31.6686526279747
"X270720",35.0804814814815
"X270730",31.9919706723891
"X270740",33.2831519049975
"X270750",36.4614630044843
"X270760",NA
"X270791",28.6673873873874
"X270799",32.3004296875
"X270810",31.3858513607816
"X270820",31.1062125748503
"X270900",40.6336504297994
"X271000",34.6709927210779
"X271011",NA
"X271012",NA
"X271013",NA
"X271014",NA
"X271015",NA
"X271016",NA
"X271019",NA
"X271021",NA
"X271022",NA
"X271025",NA
"X271026",NA
"X271027",NA
"X271029",NA
"X271091",NA
"X271093",NA
"X271094",NA
"X271095",NA
"X271096",NA
"X271099",NA
"X271111",40.0381274474902
"X271112",36.3880818529346
"X271113",33.6097491039427
"X271114",32.9588590098015
"X271119",38.1546921531962
"X271121",37.078527364758
"X271129",46.430177425822
"X271210",37.2769648284846
"X271220",33.0523587833644
"X271290",35.3901360057266
"X271311",39.5705236751333
"X271312",37.1809248554913
"X271320",34.4134762955955
"X271390",36.0406158833063
"X271410",34.1815485330963
"X271490",35.2336193447738
"X271500",35.1985095283722
"X271600",40.2697218553978
"X280110",38.1321858500528
"X280120",33.8165780141844
"X280130",33.2630641821946
"X280200",31.9298397354363
"X280300",33.6352158788623
"X280410",30.2062787639711
"X280421",33.2868288590604
"X280429",32.2965716347889
"X280430",32.2699082142442
"X280440",33.1794984216065
"X280450",34.5662730627306
"X280461",32.8266718506998
"X280469",35.3933458735011
"X280470",33.2027928908234
"X280480",34.0063600227144
"X280490",33.2699188129899
"X280511",32.919696969697
"X280519",36.9141607435757
"X280521",34.524465408805
"X280522",NA
"X280530",33.4129841269841
"X280540",38.1033052884615
"X280610",33.8520029951329
"X280620",31.228239125378
"X280700",38.019950016299
"X280800",30.4763764154627
"X280910",33.2493177387914
"X280920",31.1189165950129
"X281000",40.280272970311
"X281111",35.3147198480532
"X281119",33.1867775138559
"X281121",35.1055775577558
"X281122",32.8716981132075
"X281123",NA
"X281129",30.0710114534602
"X281210",33.1207395498392
"X281290",35.3716842441675
"X281310",36.5443676939426
"X281390",34.3146995708154
"X281410",34.996685616218
"X281420",33.0097024692435
"X281511",37.183167104112
"X281512",32.7413190823775
"X281520",29.3228187919463
"X281530",35.3162396246842
"X281610",32.6943716268311
"X281620",NA
"X281630",36.0636627906977
"X281700",37.1513709560424
"X281810",31.8518382352941
"X281820",38.0560899260103
"X281830",36.5557136083452
"X281910",35.3481313131313
"X281990",32.7080906148867
"X282010",39.3467434789566
"X282090",34.5355542700883
"X282110",37.6557755775578
"X282120",33.1721554993679
"X282200",28.4861106756545
"X282300",31.8645502645503
"X282410",37.2747446393762
"X282420",35.7874877254638
"X282490",35.944211409396
"X282510",29.750705716302
"X282520",35.4662134602311
"X282530",46.987226640159
"X282540",31.6326911499097
"X282550",32.4440518256773
"X282560",33.1852352119236
"X282570",30.3885002395783
"X282580",39.1728908188586
"X282590",36.8835341365462
"X282611",NA
"X282612",32.144975024975
"X282619",35.8574329224075
"X282620",NA
"X282630",43.373697564276
"X282690",34.5213371266003
"X282710",32.9721502590674
"X282720",31.9508822322528
"X282731",30.32734375
"X282732",32.5451975850713
"X282733",NA
"X282734",NA
"X282735",31.691167192429
"X282736",NA
"X282737",NA
"X282738",NA
"X282739",35.6299890350877
"X282741",37.2760612185966
"X282749",38.4249792186201
"X282751",34.7836947094536
"X282759",33.3121407121407
"X282760",37.4713573209833
"X282810",37.8322648292391
"X282890",33.6053076165001
"X282911",33.7730568486387
"X282919",38.1194536423841
"X282990",38.3467693236715
"X283010",39.9809063016285
"X283020",NA
"X283030",NA
"X283090",32.0558032987172
"X283110",33.6230939226519
"X283190",33.5747935368043
"X283210",34.5802266081871
"X283220",34.4133215703573
"X283230",36.9910412573674
"X283311",35.0230212765957
"X283319",34.64352433281
"X283321",32.6386763185109
"X283322",33.6200984615385
"X283323",NA
"X283324",28.3870053545775
"X283325",37.3300043109642
"X283326",NA
"X283327",33.9984716157205
"X283329",33.0440672268908
"X283330",40.3189574930189
"X283340",34.6624870466321
"X283410",34.0969230769231
"X283421",32.7512687726567
"X283422",NA
"X283429",32.2445889570552
"X283510",34.5163363363363
"X283521",NA
"X283522",32.4037861271676
"X283523",NA
"X283524",32.6941481831052
"X283525",38.7018851938149
"X283526",34.6129283788987
"X283529",34.0672900061312
"X283531",31.4543287327478
"X283539",31.9013536379019
"X283610",NA
"X283620",39.4696225649351
"X283630",35.6721953701348
"X283640",33.161875228019
"X283650",32.0862018240659
"X283660",35.1580808080808
"X283670",NA
"X283691",40.5552411718837
"X283692",34.1884057971015
"X283693",NA
"X283699",31.6225352112676
"X283711",35.7134435893237
"X283719",30.2783172720534
"X283720",32.7915679442509
"X283800",NA
"X283911",35.33925446938
"X283919",33.2770015157779
"X283920",NA
"X283990",34.7341156590312
"X284011",39.8415369958717
"X284019",39.4748517881048
"X284020",38.4089795008913
"X284030",25.5035853102801
"X284110",NA
"X284120",NA
"X284130",35.7027561327561
"X284140",NA
"X284150",34.5473093121198
"X284160",35.514701897019
"X284170",32.8976179973533
"X284180",34.9815505397449
"X284190",34.0130919220056
"X284210",31.127239488117
"X284290",35.8340622371741
"X284310",31.9407232704403
"X284321",36.93227029438
"X284329",32.7508604206501
"X284330",34.8877586206897
"X284390",36.0966629588432
"X284410",29.4300259403372
"X284420",34.3463404932379
"X284430",31.465903555772
"X284440",31.1990737677803
"X284450",30.7125697503671
"X284510",32.7554059921841
"X284590",35.5502447929632
"X284610",31.6450862248078
"X284690",31.5891803278689
"X284700",32.5966375121477
"X284810",NA
"X284890",35.1737144790257
"X284910",29.9338274932614
"X284920",32.3540238268904
"X284990",30.6087486157254
"X285000",33.8973768394114
"X285100",33.5959821428572
"X290110",32.5206497797357
"X290121",32.4
"X290122",32.8259303542072
"X290123",34.2183478000599
"X290124",37.5414559248555
"X290129",34.2213463996591
"X290211",32.888003502627
"X290219",36.668802698145
"X290220",33.0955712451861
"X290230",36.7347516401125
"X290241",34.9854581673307
"X290242",35.5012079378775
"X290243",37.3764991624791
"X290244",36.7177767499229
"X290250",35.6523861171367
"X290260",27.5049146404553
"X290270",31.7715532286213
"X290290",34.4867333763719
"X290311",32.6935643564356
"X290312",34.6582056892779
"X290313",34.1119513841999
"X290314",31.3489388264669
"X290315",34.0954157303371
"X290316",NA
"X290319",35.3779366700715
"X290321",31.5574043805165
"X290322",36.2370867768595
"X290323",31.1128419100603
"X290329",31.4612995699952
"X290330",34.0138794854435
"X290340",35.5646822742475
"X290351",32.8725902419675
"X290359",34.8600288600289
"X290361",31.9293713163065
"X290362",34.9390851735016
"X290369",34.3115581565472
"X290410",40.0285642147787
"X290420",31.5737012330705
"X290490",34.6629530201342
"X290511",38.5106340269278
"X290512",33.1641273450824
"X290513",32.407210626186
"X290514",35.3440258342304
"X290515",NA
"X290516",34.0298637882292
"X290517",36.2379547014413
"X290519",34.7900888265545
"X290521",NA
"X290522",34.2051254089422
"X290529",33.686528189911
"X290531",37.9640387675394
"X290532",33.9112882378285
"X290539",33.3563585434174
"X290541",30.1274643705463
"X290542",33.1069643452183
"X290543",35.7890270990671
"X290544",34.3469318181818
"X290549",29.7928021184401
"X290550",25.8124924049095
"X290611",36.8694755877034
"X290612",28.7360669939359
"X290613",33.5556765163297
"X290614",NA
"X290619",30.5359912015397
"X290621",32.7141361256544
"X290629",35.0577551020408
"X290711",31.6442694451175
"X290712",33.5819777647747
"X290713",32.4498835274542
"X290714",NA
"X290715",35.9094232331438
"X290719",34.1127953633526
"X290721",31.9908375751967
"X290722",34.496608040201
"X290723",34.3662527936429
"X290729",31.8410115172759
"X290730",NA
"X290810",35.3395871281117
"X290820",NA
"X290890",34.1012457912458
"X290911",32.3553276178812
"X290919",34.484862932062
"X290920",35.4447352766211
"X290930",34.693216080402
"X290941",37.1764216778025
"X290942",NA
"X290943",33.3137326073805
"X290944",38.3985989492119
"X290949",32.8226755218216
"X290950",34.7499331372025
"X290960",34.9823210412147
"X291010",30.8785207700101
"X291020",33.344969865554
"X291030",33.7694701741386
"X291090",32.6793835901708
"X291100",32.2258568548387
"X291211",31.2697769068435
"X291212",30.9126157010627
"X291213",NA
"X291219",33.9262729124236
"X291221",33.3225298588491
"X291229",33.9487394957983
"X291230",NA
"X291241",32.7866520787746
"X291242",31.1806291975963
"X291249",34.8018411362441
"X291250",29.1065906991069
"X291260",35.7699012202208
"X291300",35.40346184107
"X291411",31.0077020736352
"X291412",33.993664664118
"X291413",35.2249180327869
"X291419",34.105527406725
"X291421",NA
"X291422",33.3487721021611
"X291423",33.2248900062853
"X291429",33.9263874873865
"X291430",35.2188413643747
"X291441",NA
"X291449",33.889140625
"X291450",35.060835694051
"X291461",33.8223082881487
"X291469",33.679057187017
"X291470",33.4373405612245
"X291511",29.914478398314
"X291512",34.1684412361832
"X291513",34.151486401012
"X291521",34.9656558185404
"X291522",NA
"X291523",NA
"X291524",32.6043727225403
"X291529",31.2346153846154
"X291531",33.856
"X291532",34.7273775216138
"X291533",32.9120237506185
"X291534",NA
"X291535",NA
"X291539",34.8079681274901
"X291540",30.3234524408656
"X291550",36.0664008698804
"X291560",31.9570855614973
"X291570",36.9126226888838
"X291590",34.1509736932012
"X291611",35.227664399093
"X291612",32.894391634981
"X291613",33.6448294829483
"X291614",35.2642462845011
"X291615",33.6567032967033
"X291619",34.167183770883
"X291620",35.2315863032844
"X291631",31.2568221771467
"X291632",32.6216530849825
"X291633",36.41388101983
"X291639",34.8402355858649
"X291711",33.9199055330634
"X291712",36.3273484848485
"X291713",34.3722463768116
"X291714",35.2758632362898
"X291719",34.2591750396616
"X291720",33.8832980972516
"X291731",NA
"X291732",40.5947062621046
"X291733",29.4936323588306
"X291734",33.1024409143743
"X291735",31.5915142466094
"X291736",32.2857539132158
"X291737",33.6801310043668
"X291739",33.9711790393013
"X291811",34.4365300784656
"X291812",36.3708657810353
"X291813",35.2413843035042
"X291814",35.2305869682283
"X291815",35.4753012048193
"X291816",32.452834514381
"X291817",NA
"X291819",34.7015789473684
"X291821",34.7736745886654
"X291822",35.7625217089267
"X291823",34.7983364140481
"X291829",33.5356960408684
"X291830",34.6601807228916
"X291890",34.0471115091805
"X291900",31.8740923076923
"X292010",32.8788894709272
"X292090",33.7869590643275
"X292111",32.1241522230595
"X292112",NA
"X292119",31.5733626857457
"X292121",29.5952420934789
"X292122",32.874399494311
"X292129",31.3529281767956
"X292130",30.4855704697987
"X292141",29.6916233090531
"X292142",35.0403371710526
"X292143",33.8804651162791
"X292144",28.6871278941566
"X292145",34.5477777777778
"X292149",37.2342122830441
"X292151",29.5868644067797
"X292159",34.6965930599369
"X292211",34.3551336146273
"X292212",31.9188668051023
"X292213",33.4879396984925
"X292219",31.8302946954813
"X292221",36.5736216216216
"X292222",NA
"X292229",34.8112716763006
"X292230",34.4838588989845
"X292241",36.1691902567479
"X292242",40.7954402515723
"X292249",42.7034804619522
"X292250",31.5406292286874
"X292310",31.6680986814122
"X292320",37.7140902872777
"X292390",31.6382014639247
"X292410",34.5591214879304
"X292421",30.8553051317614
"X292429",29.723439845593
"X292511",35.7429241594996
"X292519",33.186646884273
"X292520",33.4846182775479
"X292610",33.9904667109047
"X292620",33.8253822629969
"X292690",33.1964285714286
"X292700",35.6757390666992
"X292800",33.0823268921095
"X292910",31.7831542259657
"X292990",33.0412745936698
"X293010",NA
"X293020",36.6110396207247
"X293030",31.3220210068816
"X293040",29.9708619147032
"X293090",32.9346539618857
"X293100",34.6667636363636
"X293211",32.3183776022972
"X293212",40.7779714111922
"X293213",33.1678474114441
"X293219",33.2800638977636
"X293221",NA
"X293229",33.7125407166124
"X293290",32.8089860643921
"X293311",33.7992792792793
"X293319",32.1582331730769
"X293321",33.0596632223498
"X293329",31.9674796747967
"X293331",35.8951623169955
"X293339",31.8450509700756
"X293340",31.4139251276234
"X293351",33.5865915697674
"X293359",30.736875664187
"X293361",31.9875925273176
"X293369",34.6448323066393
"X293371",30.1229337304542
"X293379",30.1973372781065
"X293390",31.5948084054388
"X293410",31.6700870087009
"X293420",30.0419087136929
"X293430",32.5968321358589
"X293490",31.5866326224091
"X293500",34.9051157125457
"X293610",NA
"X293621",32.9062105263158
"X293622",34.910034904014
"X293623",33.3843701399689
"X293624",33.5341991341991
"X293625",34.6883936861653
"X293626",37.3212324588164
"X293627",33.378729281768
"X293628",35.2386178861789
"X293629",34.3284427767355
"X293690",34.0277805239743
"X293710",38.2179397642951
"X293721",34.8346043165468
"X293722",32.710724852071
"X293729",29.071062052506
"X293791",30.7825184880855
"X293792",31.7282686567164
"X293799",33.532078494193
"X293810",33.0777348279861
"X293890",34.9034351145038
"X293910",32.133847826087
"X293921",NA
"X293929",35.8247246407217
"X293930",35.6948378557247
"X293940",35.1413169921064
"X293950",34.8041713221602
"X293960",27.7931007990166
"X293970",33.2022061140876
"X293990",36.5658028366311
"X294000",31.8588533890714
"X294110",33.576605332332
"X294120",34.6522415940224
"X294130",32.4728647014361
"X294140",36.1824074074074
"X294150",33.3801041279286
"X294190",36.3325522041763
"X294200",34.7417335473515
"X300110",NA
"X300120",31.9671328671329
"X300190",34.6496804431189
"X300210",31.0855472556025
"X300220",30.4178271308523
"X300231",NA
"X300239",34.3148148148148
"X300290",31.721892515661
"X300310",35.8323851713686
"X300320",33.5124336618651
"X300331",34.5145084745763
"X300339",32.7836215666328
"X300340",34.7033870967742
"X300390",30.8622724129984
"X300410",31.6474596598343
"X300420",33.3385005800464
"X300431",31.8035483870968
"X300432",31.5416100254885
"X300439",30.2499179655455
"X300440",33.0982958755248
"X300450",34.816396903589
"X300490",32.4314647377938
"X300510",34.2692890342572
"X300590",32.7877903975219
"X300610",36.4642869764976
"X300620",33.4375257731959
"X300630",31.0049400760012
"X300640",31.8387827317764
"X300650",35.397223042836
"X300660",31.3591199333703
"X30110",36.0481383734622
"X30191",31.1537551376261
"X30192",38.0251887267237
"X30193",30.8682680538556
"X30199",32.626284348865
"X30211",30.0959115805947
"X30212",28.237489548495
"X30219",32.8156918462388
"X30221",29.5176842521241
"X30222",28.5043310657596
"X30223",31.9569495166488
"X30229",34.2046621223597
"X30231",35.84247502017
"X30232",32.5803736898993
"X30233",37.4312013986744
"X30239",35.2040110537652
"X30240",29.3732307346664
"X30250",29.3878739687904
"X30261",31.5667620913063
"X30262",28.0014653173097
"X30263",28.1054796207364
"X30264",32.3656714364337
"X30265",30.7105169814667
